label	review
1	Телефон Samsung Galaxy J1 ..2016 Привет всем! Хочу поделится своими впечатлениями о телефоне Samsung Galaxy j1 Корпус имеет среднюю толщину удобно сидит в руке не скользит. Я выбрала золотой очень красивый .При активном использовании заряда хватает на сутки. Камера не плохая фотографии получаются не плохо. Звук чистый громкость достаточная. Хороший быстрый отклик.Памяти маловато . Есть еще очень удобный режим на улице. В солнечную погоду когда плохо видно что то на экране запускаешь этот режим и все хорошо видно. Красивый сочный экран Super Amoled отличная цветопередача . Удобный и понятный интерфейс. Сенсор реагирует отлично даже при слабом касании Мне он сразу понравился по своему внешнему виду.
0	"Xiaomi Redmi Note 5 (RN5) 4/64GB только объективные минусы Получил нового друга от сяоми буквально 3 дня назад. В отзыве будет только отрицательные стороны: 1) Диагональ 6"" даже для соотношения сторон 18:9 это много. Мой придел 5,5"". Большим пальцем не достаю до края экрана. Да и вообще все эти формфакторы стандартный маркетинговый развод. 2) Отсутствие оф. поддержки записи 4К видео в глобальной прошивке (в предустановленной программе камеры). Уж извините, но 2018 год, процессор урезанный снап 660 и нет 4К. 3) Видеоускоритель не пойми что. Игры (WOT) тянет, но в производительность в впритык. 4) Камера (фото) ночью делает ФУ. Я не знаю почему на ютубах хвалебно отзываются о камере. На мой очень старый MI4 и то снимки лучше. 5) Аккумулятор хоть и стоит 4000mAh но прироста автономности нет вообще. 6) Датчик отпечатка очень высоко задрали вверх (отголосок 6"" экрана). В общем если учитывать все плюсы и минусы то на сегодня я наверное купил бы MI Note 3 а не RN5. Но внешне RN5 мне более симпатичен. Если есть вопросы - пишите."
0	"Такой красавец-такой же глупец и бесполезен для воспроизведения аудио... Хочешь купить телефон Honor 10i? Конечно купи! Достоинств в нём предостаточно. Цвет корпуса очень глубокий и сложный, памяти аж 128 GB. Размер вполне удобен для руки и для кармана. Цена. Это всё видимые качества этого смартфона. Я хочу рассказать о том, что вас будет ждать после нескольких месяцев эксплуатации. Этот отзыв важен для тех, кто часто использует наушники. В моём случае, через восемь месяцев после покупки нового смартфона, (а покупала я его на официальном сайте), он перестал видеть ПРОводные наушники. Просто взял и перестал. Наушники в порядке, смартфон тоже, но аудио не воспроизводится. Вернее воспроизводится, только не понятно куда. В наушниках тишина, в динамике тоже. Чтобы как-то спасти себя в этой ситуации, покупаю БЕСпроводные наушники, всем известной модели. Не буду её называть, потому что это будет уже другой бренд, другая модель и соответственно другой отзыв.  Настройка через блютуз и сопряжение наушников прошли весьма успешно. Ииии аллилуйя, пошло долгожданное воспроизведение. Но рано я радовалась. Меня хватило на две недели тестировать смартфон с беспроводными наушниками. Принцип воспроизведения аудио файлов не понятен никому, советовалась со специалистами. То ""Алиса"" влезет со своим ""сейчас 13:00"", то Яндекс срочно вещает новости, то вообще вместо PLAY у вас вдруг РAUSE, которую вы не нажимали. Всё что угодно, но только не то, что вам нужно. Следующим пунктом напишу о том, как пишет слова этот смартфон. Система по подбору слов в нём настолько глухая, что даже если вы без побора набираете слово полностью сами руками, то во время отправки, он вам так изменит слово, что ещё и стыдиться придётся перед собеседником. Заключение: В своём отзыве я перечислила важные для себя опции (вернее их недостатки) этого смартфона. В описании и у продавца вам о них никто не расскажет, их не видно через один-два и даже, если повезёт, через шесть месяцев использования. Отзывы, как правило, пишут в первые дни-месяцы после приобретения товара и всех конечно же устраивает этот device. Потому и отзывы меня не спасли при приобретении, кошмары начинаются после шести месяцев и выше. "
1	"Телефон очень хороший, пользуюсь (на 64гб) уже год и никогда не подводил.  Плюсы:  1. У телефона много памяти, проблем с ней не было. На моем предыдущем телефоне вечно не хватало памяти и это жутко раздражало, но здесь такой проблемы нет. Можно спокойно скачивать игры, фильмы, аниме и сериалы. 2. Хорошие составляющие. Я играл во много игр и ни одна из них не говорила, что телефон не подходит под системные требования. Также телефон никогда не лагает. 3. Довольно большой экран. Очень удобно смотреть YouTube и аниме. 4. Камера. Я не специалист по камерам, но обычно люди говорят что фото тут получаются ярче и красочнее. Минусы: Иногда бывает баг с тем, что просто черный экран и надпись ""Samsung"". Но я довольно быстро решил эту проблему, надо просто на ~15, 20 секунд зажать кнопку включения/выключения и понижения звука. Тогда телефон просто перезагрузиться и баг пропадает. Батарея: на самом деле батарея не супер-пупер на максимальной яркости разряжается за часа 4. Это все."
1	Отличный бюджетный смартфон Лучший выбор в своей ценовой категории. Бюджет был ограничен 16 тыс., поэтому выбор пал на эту модель. Плюсы: 1 Аккумулятор на 6000Мач (хватает на 2 дня активного использования) 2 Камера 48 MP 3 AMOLED дисплей Минусы: 1 Отпечаток пальца иногда не срабатывает 2 Маркая задняя панель Продавался в красивой коробке. В комплекте документы, смартфон, USB-шнур, адаптер. На прошивку стабильно выходят обновления. Недавно обновился до 11 андроида. После года использования никаких нареканий (кроме отпечатка пальца) в работе не обнаружил.
1	Это мечта Привет всем. Хочу похвастаться своим приобретением. Меня он просто подверг в шок. Я счастлив что остановил свой выбор именно на данной модели. Ведь соотношение цены и качества телефона просто заставляют прыгать от восторга. Неумоверно крутая камера. Амолед экран. Съёмка в режиме 4к. 48 мегапикселей , 4/64 память. А самое что ещё больше повергло меня в шок это необъятная батарея. Она держит невероятно долго. Скажу проще, мне сложно посадить ее до конца за день если я даже просто лазию в интернете. Конечно если вы играете в игры то любое устройство сядет но он просто супер. Я даже снимаю видео для своего канала на Ютюб и качество просто супер.
0	Не берите! Искал бюджетный телефон с мощной батареей и приемлемой камерой.  Минусы: Приобрёл этот в апреле 2021. 1. Сейчас начало сентября 2021 - мгновенно умерла батарея. Интересовался у других пользователях марки blackview, с этой же и другими моделями - болезнь одна: 3-8 месяцев и аккумулятор перестаёт держать заряд. Под выброс, так как акум к ним не найти. 2. Достаточно неплохая камера, как фронталка, так и другая. Есть одно существенное Но! Без стабилизации годна снимать только фотографии. О видео можно забыть. Но, в век тиктока и Инстаграма - кому нужно статичное фото? Не берите. 3. Что-то с железом. Очень часто подвешивает приложения, к примеру Тинькофф. Спасает только полная перезагрузка. Прошивка стандартная андроид на текущий момент. 4. Максимальный класс защиты. Враньё. Без защитного экрана - родной экран за два месяца убивается в хлам. Остаются потёртости и навигационные кнопки внизу экрана перестают адекватно реагировать. Плюсы: Пока батарея держала заявленную ёмкость (первые 2 месяца) - соотношение цена/качество устраивало. Итог: Не брать! Выброшенные деньги. Продаю свой за 5'000 рублей, хотя брал за 18'600. Дороже он не стоит.
1	Нормальный телефон за небольшие деньги, выбирала между ним и redmi. Пожалела, что не взяла redmi. Расскажу почему. Мне очень срочно понадобился новый телефон, так как мой sony морально устарел и не справлялся с поставленными задачами. Требования к телефону были: не дороже 10000, объем памяти - не ниже 32 гб, ОЗУ - 3 гб, аккамулятор - 5000 мАч. И еще, очень хотелось белый, прям зациклилась))) В итоге, было найдено 2 варианта - samsung и redmi (он был дороже на 1000 и в оранжевом цвете). Цвет и цена сыграли решающее значение и я приобрела samsung. Телефон в целом нормальный, зарядку держит около двух-трех дней, но телефоном пользуюсь постоянно, так как работа на звонках целый день. Хочется отметить, что заряжается он достаточно быстро. Операционная система - Android 10. Понятия не имею - хорошо это или плохо))) После месяца использования телефон не тупит и не тормозит, работает исправно, как часы. Наконец-то поставила себе кучу полезных приложений (на старом это было невозможно, так как память там ограничивалась 2 гб). Звук отличный, динамик работает тоже супер. В общем, все мои потребности удовлетворил. Теперь, о второстепенном: камера разочаровала, очень пожалела, что не сравнила камеры с redmi в магазине. Очень не яркие фото, все настройки пролазила, но так и не смогла добавить яркости. По четкости вопросов нет, все норм. Итак, почему же я расстроилась, что не взяла redmi. Уже потом, придя домой я поняла, что я переплатила за бренд, так как оранжевый redmi, между которым я выбирала, по характеристикам был выше, память - 64 гб, камера - 13/5/2. В общем, поторопилась, нормально не сравнила и теперь кусаю локти. Но, повторюсь, данный телефон тоже нормальный. Если телефон нужен, как средство связи и общения, то эта модель подойдет. Если нужна еще хорошая камера, то стоит поискать что-то подороже.
0	Телефон huawei p20 lite , все его минусы и плюсы. Имея смартфон   уже 2 года ,могу с уверенностью сказать что это неплохой телефон для своего года, то-есть для 2017 года. Но в 2021 году он уже не актуален. За 2 года телефон успел побывать 2 раза в ремонте, с одной и той же проблемой. При падении у телефона отходила батарея, и соответственно он не мог включится. Без вспышки складывается впечатление что камера делает более серый оттенок. А вот фотография с вспышкой буд-то желтит фото. Внизу вы увидите фото с вспышкой и без. Первый 3 месяца телефон не зависал и работал корректно. Потом со временем памяти оставалось меньше, но свободно было 20гб. Этот телефон прекрасно подойдет для вас, если вы собираетесь скачивать какие-то соц. сети или же пользоваться телефоном только для звонков.  У смартфона huawei p20 lite современный дизайн с двойной камерой в 16мп. С синей расцветкой телефон смотрится стильно и очень круто) Экран почти на всю поверхность. Сам телефон тонкий, но хрупкий. Батарея телефона хорошо держит, хватает на 4-5 часов, если активно сидеть в телефоне. Если вы человек, который использует смартфон только ради звонков, то заряда вам хватит на 2 дня. На смартфоне так же есть много различных функций. Несколько блокировок телефона, то-есть можно поставить pin cod ,распознавание лица , и отпечаток пальца.  За 2 года пользованием этого телефона , могу сказать что он не стоит своих денег. Камера мне не особо нравится, часто зависает и отпечаток пальца не всегда работает. В данный момент у телефона есть 2 огромных минуса.
0	"Такую хорошую, на первый взгляд, модель так недоработали... Всем привет! Спешу поделиться впечатлениями о своём новом смартфоне! После того, как меня разочаровал мой Asus - решила попробовать что-то очень новое. И вот, по совету брата, окунула свои поиски в линейку Xiaomi. По его словам: "" Этот начинающий бренд скоро встанет на передние ряды"". И действительно, широкий ассортимент смартфонов на любой вкус сулит Xiaomi популярность. Выбирала я идеальное соотношение цена-камера-батарея-внутренняя память-внешний вид. Мои требования сошлись на Xiaomi Redmi Note 5 32 GB. Эта красивая модель уж очень напоминает внешним дизайном iPhone X😉. Телефон действительно красивый. Мне несколько показалось неудобным расположение сканера отпечатка пальца - на задней крышке. Разблокируется каждый раз, когда берешь его в руку. Металлический корпус практически полностью покрывает заднюю часть смартфона и его боковые грани, но сверху и снизу присутствуют небольшие вставки выполненные из пластика, которые нужны, по словам производителя, для качественного приема сигнала модулями связи. Кстати, сигнал телефон правда ловит хорошо, даже там где другие смартфоны подводят 👌 Отдельное удовольствие доставляет сравнительно большой экран(диагональ 5,99''), который передает очень чёткую и яркую картинку, очень это порадовало. Камера достойная, как основная (12+5 Мп), так и фронтальная (13 Мп), делают качественные снимки, автоматически фокусируются, но не на близкие расстояния... На близкие расстояния вообще все мутно. Очень беспокоит то, что камера при включении виснет, включается секунды через 2 и фото делает тоже с запозданием... Надеялась, что с обновлением это пройдет, но нет... Сдвоенная основная камера довольно сильно выпирает за пределы корпуса и за счет этого смартфон неустойчиво лежит на ровных поверхностях. Решением проблемы может стать использование защитного чехла, толщина которого хоть как-то компенсирует данный недостаток смартфона. Однако, найти чехол оказалось довольно сложно, есть исключительно стандартные, но хочется что-нибудь интересное, заказала с Joom. Батарею очень хорошо держит, в этом не ошиблась 😃. Но вот беда! Через два месяца телефон начал виснуть, сам перезагружается, камера совсем плохо реагирует... Разочаровалась всё-таки, потому что хотела от ноаого телефона быстрой и безотказной работы, а кажется, что в руках уставший старичок! Ощущение, что у создателей этой модели сначала появилась отличная идея, но в процессе разработки они устали и выпустили на витрины магазина то, что успели сделать."
0	Телефон так себе Купил телефон, писали что горела глас 3 - надёжный. Обман. Через неделю после покупки треснул весь экран ровно вдоль посередине. С телефоном обращались аккуратно (носила в сумке, на пол он не падал ни ударений не было). По-гарантийному ремонтировать отказались. Розетка не сопровождала и не информировала о новостях пока телефон был на экспертизе. Звонила 3 раза сама на протяжении 2 недель, чтобы получить информацию. С третьего раза на 13 день получила печальные новости. Первый раз так подвела с товаром и сервисом. В случае покупки телефона рекомендую с первого дня одеть в бампер.
1	Очень доволен! Купил данный телефон неделю назад и никак не могу нарадоваться! Начнем с плюсов: 1) Мощная батарея аж на 6000 мач.  2) Громкий динамик. 3) Камера на 48мп делает отличные фотографии. 4) NFC. 5) Мощный процессор, тянет многие игры на максимальных настройках. 6) В комплекте идет быстрая зарядка. 7) Отпечаток пальца работает быстро. Недостатков пока не выявил. Отличный телефон по цена/качество, советую!
1	Хороший телефон за свои деньги.
0	Не качественная железка в красивой оболочке.  Через полгода использования отвалился (в прямом смысле) дисплей. Заменили по гарантии. Ещё через полгода дисплей начал глючит, жить своей жизнью. В гарантийном ремонте отказали, так как истекла гарантия на само устройство. Получается, гарантия на смартфон 1 год, а на оригинальный дисплей - полгода... Бред. Пользуюсь пятью устройствами Honor, но после этого случая буду обходить данный бренд стороной. Никому не советую Honor.
1	Неплохой бюджетник Данный девайс покупался ребенку в школу для обычной связи и соц.сетей. По своим характеристикам 3гб оперативки и 32 гб внутренней памяти он довольно хорошо справлялся со своими функциональными обязанностями. По моему мнению, экран можно было немного уменьшить, потому что он не ложился в руку не то что ребенку 12-13 лет, но и взрослому человеку.  В целом довольно хороший бюджетник для ежедневных дел , типа отправить-получить деньги на карту, позвонить, вызвать такси, проверить баланс карт, поковыряться в поисковике, с этими задачами данный аппарат справляется без всякий зависаний. Камера как камера, хотя состоит их нескольких, но особо похвастаться ей не могу( Из минусов только довольно дешевый пластик, который быстро царапается, отсутствие наушников в комплекте, отсутствие чехла и пленки в комплекте, как например у его аналога от Xiaomi Redmi 9. В целом аппарат на хорошую 4-ку
0	"Китай есть Китай. Всем привет! Я всегда была приверженцем компании Samsung, начиная с кнопочных телефонов. Так как при выборе моделей телефонов, соотношение цены и качества для меня всегда были у этой компании. Последняя модель перед покупкой Xiaomi стала Samsung Galaxy Grand 2 Duos G7102 Black. Как понимаете, для 2018 года характеристики этого телефона уже устарели и необходимо было купить более новый телефон. Для меня в приоритете был объем батареи и качество камеры (так как много путешествую и хорошая камера на телефоне не помешает). Также ЦЕНА! Я работаю в ИТ сфере и понимаю, что тратить огромные деньги на смартфон нет смысла, так как технологии идут вперед и такая техника быстро устаревает. Смартфоны компании Samsung с затребованными мною характеристиками были для меня дорогие. Так вот долго выбирая, решила ПОВЕРИТЬ Китаю и остановилась на модели Xiaomi Redmi Note 5. Плюсы по которым я выбрала этот телефон стали: Минусы, через которые я смогла переступить: Да-да! Чем мне нравились моделях Samsung, что у них всегда было 2 слота для симок и отдельный слот для карты памяти. Но так как памяти в смартфоне Xiaomi было достаточно, решила на этот минус ""закрыть глаза"". Не к плюсам, не к минусам не могу отмести оболочку  Сначала было не удобно, так как в моделях Samsung оболочек не было. Но со временем привыкла и смогла подстроить систему под себя. За все время использования смартфона, а это примерно 1,5 года, меня порадовало, то что данная модель поддержала обновление на Android 9. Но с каждым обновлением, как оболочки  так и версии операционной системы смартфон лучше работать не стал. Очень много багов, которые со следующим обновление исправляли, но до следующего обновление нужно было как-то пользоваться смартфоном с багами. Также последние три месяца испортилась фронтальная камера, не могу сказать с чем это связано, но много фото получаются засвеченными. Смартфон последнее время много лагает и подвисает, хотя установленных приложений не много и чистка телефона проводиться регулярно. Одним словом, Китай есть Китай. Такой б/у смартфон я бы НЕ советовала покупать. И продать думаю за нормальные деньги вы его уже не сможете.  ОТЗЫВ  К сожалению из минусов обнаружила, что что-то произошло с разъемом для наушников. Звук при прослушивании музыки стал глухим. Сначала я грешила на свои наушники, но благо у меня есть bluetooth гарнитура и на этой проблеме я не обращала внимание. Но как-то пришлось взять проводные наушники подруги и присоединив к своему телефону я услышала все тот же глухой звук. У меня есть селфи палка, которая прекрасно работала на этом телефоне, но на НГ я не смогла сделать селфи, так как оказалось, что телефон перестал реагировать на нее. В другом телефоне моя селфи палка прекрасно работает. Грешу опять на разъем. Интересно, у кого-то еще есть такие проблемы? П.С. Телефон не купался, в грязи не валялся и тд и тп.  -------->"
1	Телефон рекомендую Решила обновить себе телефон. Искала где выгоднее будет это сделать, и наткнулась на подписку форвард. Стоимость на смартфоны такая же, как у официальных представителей, только платишь не все сразу, а ежемесячными платежами. Плюс у них была акция – сдай старый, получили скидку на новый. Я так и сделала. Пользуюсь месяц, пока аппарат создает только положительное впечатление. Просто отличная камера, достаточно мощный процессор, яркий экран, с возможностью подстройки. Дизайн очень нравится, выглядит дорого, не смотря на то, что корпус из пластика. Кстати, за такую цену могли бы и металлический сделать. Заряжается довольно быстро, и заряд теряет не так скоро, как мой предыдущий. Телефон рекомендую.
0	"Цена качество, не советую  Опыт использования: месяц Достоинства: Большой экран 6.5"" Емкая батарея 5000mA Всё! Недостатки: Слабый процессор. Точно такой-же как в простых китайца 2018-2019 гг. С поддержкой сетей 4G Посредственная камера. Текстура задней крышки (вообще на любителя). Дорогой. Samsung пытался повторить успех китайцев по аналогичным устройствам, которые разлетелись как пирожки по цене 3500-4000, но не фортануло им. Цена на данный самсунг 8000 очень высокая. За эти деньги можно купить тот же Redmi 9 (9c), realme C11 - на порядок лучше"
0	Слишком тяжелый и большой-неудобно Не так давно жена подарила мне этот смартфон.До этого был Honor 8a (отзыв тоже есть у меня о нем),но он у меня разбился об асфальт. Пишу отзыв в сравнивая эти два телефона(больше сравнивать пока не с чем).По цене они схожи-около 10000 рублей.По функциям самсунг уступает хонору.Например:нет функции отпечатка пальца.Но ,как говорится,за бренд самсунг надо доплачивать. Этот телефон очень тяжелый(около 250 г) и толстый-неудобно одной рукой что то писать-просто напросто палец не дотягивается.По размерам он и выше и шире и тяжелее хонора.Даже полностью не помещается в карман. Ну а так,в целом,по работе устройства нареканий нет-работает нормально,пока не тормозит.Камеры 13 мп хватает.Зарядку держит больше суток ,даже если активно пользоваться. В общем выбор за вами : или купить более продвинутый смартфон ,но не такой крупной компании ,как самсунг, или купить бренд,славящийся своим качеством.
1	Телефон с фото-камерой, радио и фонариком за символические деньги
